,npi,entity_type,provider_type,place_of_service,hcpcs_code,hcpcs_desc,no_dist_ben_per_day_svcs,avg_med_allowed_amt,avg_med_pay_amt,zip,cbsa,crosswalk_short_desc,apc
2010002,1699054098,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,35,529.94,403.02571429,21502,19060,Esoph egd dilation <30 mm,5302.0
2010006,1386796332,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,45,576.92,438.582,43623,45780,Esoph egd dilation <30 mm,5302.0
2010021,1427491547,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,26,591.32884615,458.08923077,77030,26420,Esoph egd dilation <30 mm,5302.0
2010024,1679585772,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,46,599.01,459.26260870000004,77030,26420,Esoph egd dilation <30 mm,5302.0
2010027,1073587416,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,35,605.46,472.93085714,13210,45060,Esoph egd dilation <30 mm,5302.0
2010032,1457640112,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,46,646.81,495.47369565,48532,22420,Esoph egd dilation <30 mm,5302.0
2010037,1619149960,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,39,675.96,516.71641026,98664,38900,Esoph egd dilation <30 mm,5302.0
2010042,1316910086,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,18,589.51,462.18,29615,24860,Esoph egd dilation <30 mm,5302.0
2010044,1619051760,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,73,589.51,452.3969863,29615,24860,Esoph egd dilation <30 mm,5302.0
2010056,1235551052,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,15,696.4,545.98,11776,35620,Esoph egd dilation <30 mm,5302.0
2010058,1215091087,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,15,546.33133333,420.126,78411,18580,Esoph egd dilation <30 mm,5302.0
2010060,1316133044,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,44,643.43,496.49954545,55369,33460,Esoph egd dilation <30 mm,5302.0
2010062,1518957729,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,26,559.3,425.32769231,49684,45900,Esoph egd dilation <30 mm,5302.0
2010080,1841626090,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,24,555.41,406.24166667,31904,17980,Esoph egd dilation <30 mm,5302.0
2010091,1013967025,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,38,583.67,457.6,44122,17460,Esoph egd dilation <30 mm,5302.0
2010097,1346248440,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,49,599.16306122,441.15469388,75246,19100,Esoph egd dilation <30 mm,5302.0
2010107,1255526265,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,76,599.01,466.13592105,77304,26420,Esoph egd dilation <30 mm,5302.0
