,npi,last_name,entity_type,city,state,provider_type,place_of_service,hcpcs_code,hcpcs_desc,no_dist_ben_per_day_svcs,avg_med_allowed_amt,avg_med_pay_amt,zip,cbsa
619833,1003248733,OSBORNE,I,CLARKSVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",833,86.62,58.570780312,37043,34980
620311,1194048413,MILLER,I,CLARKSVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",491,86.62,59.455437882,37043,34980
620719,1396839429,SOLIS,I,CLARKSVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",39,67.01,42.751025641,37043,34980
620787,1407270242,VAUGHN,I,CLARKSVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",53,86.62,61.205283019,37043,34980
620831,1427181015,HIGGINS,I,CLARKSVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",310,84.89,59.932225806000005,37043,34980
621003,1508313552,SCHMIDT,I,CLARKSVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",16,86.62,55.176875,37043,34980
621071,1528269503,ALLEN,I,CLARKSVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",209,84.89,55.160669856000005,37043,34980
621235,1578985313,WEDGE,I,CLARKSVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",78,86.62,36.880641026,37043,34980
621341,1659668408,LOOMIS,I,CLARKSVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",21,86.18,67.56,37043,34980
622187,1861723066,THOMAS,I,CLARKSVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",320,84.89,57.17090625,37043,34980
622279,1912432733,NADLER,I,CLARKSVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",110,86.62,66.176090909,37043,34980
622761,1992725105,VACHON,I,CLARKSVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",126,84.89,62.557142856999995,37043,34980
733884,1013182476,TEDDER,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",24,84.89,38.79125,37203,34980
733911,1013395870,MOORE,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",381,86.62,59.434251968999995,37203,34980
734071,1013992106,CALDWELL,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",74,86.62,58.101621621999996,37203,34980
734279,1033570015,BALLANCE,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",42,86.62,65.052380952,37203,34980
734342,1043548001,FITCH,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",31,84.89,37.386129032,37203,34980
734467,1053470062,FOLLMER,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",35,86.62,50.852857143,37203,34980
734507,1053719682,DUNN,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",551,86.62,63.92615245,37203,34980
735664,1134476021,WILLIAMS,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",53,86.62,54.836037736,37203,34980
735675,1134521792,BOBROWSKI,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",67,86.62,60.814925373,37203,34980
735708,1144209495,DARDEN,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",20,86.62,63.4445,37203,34980
735825,1144585654,LUDWIG,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",35,84.89,55.129142857,37203,34980
735969,1154560555,WOODLEE,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",85,86.62,52.932470588,37203,34980
736304,1184867541,SCHOLL,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",98,86.62,59.638673469,37203,34980
736326,1194001677,JACKSON,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",414,86.62,61.221135266000005,37203,34980
736469,1194756494,SNYDER,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",32,86.62,50.9903125,37203,34980
736515,1205150216,ROLLINS,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",107,84.89,57.205046728999996,37203,34980
736528,1205179900,RENDECZKY,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",171,89.38473684200001,45.115204678000005,37203,34980
736725,1215966544,COX,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",65,86.62,63.856923077,37203,34980
736809,1225064181,BROWN,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",20,84.89,57.3375,37203,34980
737468,1255792230,ALEXANDRE,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",36,86.62,63.026666667,37203,34980
737956,1285676080,COLE,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",306,86.62,58.070424837,37203,34980
738020,1295169548,STEWART,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",14,86.62,66.149285714,37203,34980
738205,1306828942,BYRAM,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",93,86.380860215,52.169032258,37203,34980
